2026-06-07 19:20:25.488 [info] Reading sessions from keychain...
2026-06-07 19:20:29.518 [info] Got 1 sessions for ...
2026-06-07 19:20:29.520 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-06-07 19:20:29.520 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-06-07 19:20:29.596 [info] Getting sessions for all scopes...
2026-06-07 19:20:29.596 [info] Got 1 sessions for ...
2026-06-07 19:20:29.597 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-06-07 19:20:29.597 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-06-07 19:20:29.635 [info] Getting sessions for all scopes...
2026-06-07 19:20:29.635 [info] Got 1 sessions for ...
2026-06-07 19:20:29.636 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-06-07 19:20:29.636 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-06-07 19:20:41.369 [info] Getting sessions for all scopes...
2026-06-07 19:20:41.369 [info] Got 1 sessions for ...
2026-06-07 19:20:41.370 [info] Getting sessions for all scopes...
2026-06-07 19:20:41.370 [info] Got 1 sessions for ...
2026-06-07 19:20:46.509 [info] Getting sessions for all scopes...
2026-06-07 19:20:46.509 [info] Got 1 sessions for ...
2026-06-07 19:20:46.510 [info] Getting sessions for all scopes...
2026-06-07 19:20:46.510 [info] Got 1 sessions for ...
2026-06-07 19:21:37.837 [info] Getting sessions for all scopes...
2026-06-07 19:21:37.837 [info] Got 1 sessions for ...
2026-06-07 19:21:37.837 [info] Getting sessions for all scopes...
2026-06-07 19:21:37.837 [info] Got 1 sessions for ...
2026-06-07 19:22:34.462 [info] Getting sessions for all scopes...
2026-06-07 19:22:34.463 [info] Got 1 sessions for ...
2026-06-07 19:22:34.464 [info] Getting sessions for all scopes...
2026-06-07 19:22:34.464 [info] Got 1 sessions for ...
2026-06-07 19:22:58.970 [info] Getting sessions for all scopes...
2026-06-07 19:22:58.970 [info] Got 1 sessions for ...
2026-06-07 19:22:58.971 [info] Getting sessions for all scopes...
2026-06-07 19:22:58.971 [info] Got 1 sessions for ...
2026-06-07 19:23:02.852 [info] Getting sessions for all scopes...
2026-06-07 19:23:02.852 [info] Got 1 sessions for ...
2026-06-07 19:23:02.855 [info] Getting sessions for all scopes...
2026-06-07 19:23:02.855 [info] Got 1 sessions for ...
2026-06-07 19:23:08.107 [info] Getting sessions for all scopes...
2026-06-07 19:23:08.107 [info] Got 1 sessions for ...
2026-06-07 19:23:08.107 [info] Getting sessions for all scopes...
2026-06-07 19:23:08.107 [info] Got 1 sessions for ...
2026-06-07 19:23:10.253 [info] Getting sessions for all scopes...
2026-06-07 19:23:10.253 [info] Got 1 sessions for ...
2026-06-07 19:23:10.253 [info] Getting sessions for all scopes...
2026-06-07 19:23:10.253 [info] Got 1 sessions for ...
2026-06-07 19:23:10.782 [info] Getting sessions for all scopes...
2026-06-07 19:23:10.782 [info] Got 1 sessions for ...
2026-06-07 19:23:10.783 [info] Getting sessions for all scopes...
2026-06-07 19:23:10.783 [info] Got 1 sessions for ...
2026-06-07 19:23:23.362 [info] Getting sessions for all scopes...
2026-06-07 19:23:23.362 [info] Got 1 sessions for ...
2026-06-07 19:23:23.363 [info] Getting sessions for all scopes...
2026-06-07 19:23:23.363 [info] Got 1 sessions for ...
2026-06-07 19:23:25.146 [info] Getting sessions for all scopes...
2026-06-07 19:23:25.146 [info] Got 1 sessions for ...
2026-06-07 19:23:25.147 [info] Getting sessions for all scopes...
2026-06-07 19:23:25.147 [info] Got 1 sessions for ...
2026-06-07 19:24:08.797 [info] Getting sessions for all scopes...
2026-06-07 19:24:08.798 [info] Got 1 sessions for ...
2026-06-07 19:24:08.798 [info] Getting sessions for all scopes...
2026-06-07 19:24:08.798 [info] Got 1 sessions for ...
2026-06-07 19:24:12.395 [info] Getting sessions for all scopes...
2026-06-07 19:24:12.395 [info] Got 1 sessions for ...
2026-06-07 19:24:12.396 [info] Getting sessions for all scopes...
2026-06-07 19:24:12.396 [info] Got 1 sessions for ...
2026-06-07 19:24:20.964 [info] Getting sessions for all scopes...
2026-06-07 19:24:20.964 [info] Got 1 sessions for ...
2026-06-07 19:24:20.965 [info] Getting sessions for all scopes...
2026-06-07 19:24:20.965 [info] Got 1 sessions for ...
2026-06-07 19:24:26.440 [info] Getting sessions for all scopes...
2026-06-07 19:24:26.440 [info] Got 1 sessions for ...
2026-06-07 19:24:26.441 [info] Getting sessions for all scopes...
2026-06-07 19:24:26.441 [info] Got 1 sessions for ...
2026-06-07 19:24:27.023 [info] Getting sessions for all scopes...
2026-06-07 19:24:27.023 [info] Got 1 sessions for ...
2026-06-07 19:24:27.023 [info] Getting sessions for all scopes...
2026-06-07 19:24:27.023 [info] Got 1 sessions for ...
2026-06-07 19:24:27.531 [info] Getting sessions for all scopes...
2026-06-07 19:24:27.531 [info] Got 1 sessions for ...
2026-06-07 19:24:27.531 [info] Getting sessions for all scopes...
2026-06-07 19:24:27.531 [info] Got 1 sessions for ...
2026-06-07 19:24:28.377 [info] Getting sessions for all scopes...
2026-06-07 19:24:28.377 [info] Got 1 sessions for ...
2026-06-07 19:24:28.377 [info] Getting sessions for all scopes...
2026-06-07 19:24:28.377 [info] Got 1 sessions for ...
2026-06-07 19:24:29.435 [info] Getting sessions for all scopes...
2026-06-07 19:24:29.435 [info] Got 1 sessions for ...
2026-06-07 19:24:29.435 [info] Getting sessions for all scopes...
2026-06-07 19:24:29.435 [info] Got 1 sessions for ...
2026-06-07 19:25:13.522 [info] Getting sessions for all scopes...
2026-06-07 19:25:13.522 [info] Got 1 sessions for ...
2026-06-07 19:25:13.523 [info] Getting sessions for all scopes...
2026-06-07 19:25:13.523 [info] Got 1 sessions for ...
2026-06-07 19:25:43.257 [info] Getting sessions for all scopes...
2026-06-07 19:25:43.257 [info] Got 1 sessions for ...
2026-06-07 19:25:43.258 [info] Getting sessions for all scopes...
2026-06-07 19:25:43.258 [info] Got 1 sessions for ...
2026-06-07 19:25:44.683 [info] Getting sessions for all scopes...
2026-06-07 19:25:44.683 [info] Got 1 sessions for ...
2026-06-07 19:25:44.684 [info] Getting sessions for all scopes...
2026-06-07 19:25:44.684 [info] Got 1 sessions for ...
2026-06-07 19:25:56.318 [info] Getting sessions for all scopes...
2026-06-07 19:25:56.318 [info] Got 1 sessions for ...
2026-06-07 19:25:56.319 [info] Getting sessions for all scopes...
2026-06-07 19:25:56.319 [info] Got 1 sessions for ...
